N,country,state,city,lat,lon,dist
1,Algeria,,Algiers,28.0000272,2.9999825,10784.13324
5,Argentina,,Buenos Aires,-34.6075616,-58.437076,10371.86094
1,Argentina,,Córdoba,-32.0967361,-63.7940923,9824.820165
1,Argentina,,La Plata,-34.9206797,-57.9537638,10427.79543
4,Argentina,,Mendoza,-34.78719615,-68.43807124,9763.313749
1,Argentina,,Pergamino,-33.8951226,-60.5663735,10177.2267
1,Argentina,,Salta,-25.1076701,-64.3494964,9218.726486
2,Armenia,,Gyumri,40.77974155,43.85042109,11210.28469
6,Armenia,,Yerevan,40.16431325,44.53173297,11288.22178
54,Australia,ACT,Canberra,-35.2975906,149.1012676,12177.48485
1,Australia,NSW,Birmingham Gardens,-32.8927778,151.69,11831.08122
8,Australia,NSW,Callaghan,-32.8892352,151.6998983,11830.09489
1,Australia,NSW,Kensington,-33.9117191,151.2195058,11930.70958
1,Australia,NSW,Lismore,-28.79363905,153.2670868,11446.30619
1,Australia,NSW,Mayfield West,-32.890084,151.7262824,11828.10993
3,Australia,NSW,Penrith,-33.7510792,150.6941684,11961.20039
5,Australia,NSW,Richmond,-33.6009721,150.7496405,11947.67244
41,Australia,NSW,Sydney,-33.8548157,151.2164539,11927.42331
1,Australia,NSW,Ultimo,-33.8794728,151.1984346,11930.33266
5,Australia,NSW,Wollongong,-34.4243941,150.89385,11987.27586
1,Australia,NT,Darwin,-12.46044,130.8410469,12321.37139
6,Australia,QLD,Brisbane,-27.4689682,153.0234991,11379.57538
1,Australia,QLD,Nathan,-27.548375,153.0474942,11382.82789
10,Australia,QLD,St Lucia,-27.4987362,153.0081642,11382.73994
8,Australia,SA,Adelaide,-34.9281805,138.5999312,12980.75659
1,Australia,SA,Bedford Park,-35.0233978,138.5698409,12988.22263
16,Australia,TAS,Hobart,-42.8825088,147.3281233,12741.98638
1,Australia,TAS,Kingston,-42.9749818,147.308221,12748.4039
1,Australia,TAS,Sandy Bay,-42.897129,147.3273528,12742.83207
2,Australia,VIC,Aspendale,-38.0219105,145.1024159,12639.97539
1,Australia,VIC,Carlton,-37.8004228,144.9684343,12637.89174
2,Australia,VIC,Clayton,-37.9173212,145.1304242,12632.03905
2,Australia,VIC,Hawthorn,-37.8355533,145.0552246,12633.22528
